instant_hour,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,total_rentals_hour,instant_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,total_rentals_day
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,7,0.196522,0.208839,0.498696,0.168726,148,1362,1510
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,8,0.165,0.162254,0.535833,0.266804,68,891,959
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,8,0.165,0.162254,0.535833,0.266804,68,891,959
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,8,0.165,0.162254,0.535833,0.266804,68,891,959
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,8,0.165,0.162254,0.535833,0.266804,68,891,959
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,8,0.165,0.162254,0.535833,0.266804,68,891,959
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,8,0.165,0.162254,0.535833,0.266804,68,891,959
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,8,0.165,0.162254,0.535833,0.266804,68,891,959
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,8,0.165,0.162254,0.535833,0.266804,68,891,959
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,8,0.165,0.162254,0.535833,0.266804,68,891,959
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,9,0.138333,0.116175,0.434167,0.36195,54,768,822
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,9,0.138333,0.116175,0.434167,0.36195,54,768,822
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,9,0.138333,0.116175,0.434167,0.36195,54,768,822
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,9,0.138333,0.116175,0.434167,0.36195,54,768,822
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,9,0.138333,0.116175,0.434167,0.36195,54,768,822
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,9,0.138333,0.116175,0.434167,0.36195,54,768,822
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,9,0.138333,0.116175,0.434167,0.36195,54,768,822
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,9,0.138333,0.116175,0.434167,0.36195,54,768,822
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,9,0.138333,0.116175,0.434167,0.36195,54,768,822
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,9,0.138333,0.116175,0.434167,0.36195,54,768,822
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,9,0.138333,0.116175,0.434167,0.36195,54,768,822
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,9,0.138333,0.116175,0.434167,0.36195,54,768,822
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,9,0.138333,0.116175,0.434167,0.36195,54,768,822
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,9,0.138333,0.116175,0.434167,0.36195,54,768,822
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,9,0.138333,0.116175,0.434167,0.36195,54,768,822
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,9,0.138333,0.116175,0.434167,0.36195,54,768,822
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,9,0.138333,0.116175,0.434167,0.36195,54,768,822
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,9,0.138333,0.116175,0.434167,0.36195,54,768,822
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,9,0.138333,0.116175,0.434167,0.36195,54,768,822
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,9,0.138333,0.116175,0.434167,0.36195,54,768,822
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,9,0.138333,0.116175,0.434167,0.36195,54,768,822
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,9,0.138333,0.116175,0.434167,0.36195,54,768,822
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,9,0.138333,0.116175,0.434167,0.36195,54,768,822
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,9,0.138333,0.116175,0.434167,0.36195,54,768,822
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
233,2011-01-10,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,10,0.150833,0.150888,0.482917,0.223267,41,1280,1321
236,2011-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
237,2011-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
238,2011-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
239,2011-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
240,2011-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
241,2011-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
242,2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
243,2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
244,2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,11,0.169091,0.191464,0.686364,0.122132,43,1220,1263
